yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2004,SFN,NL,aardsda01,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2006,CHN,NL,aardsda01,45,0,43,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2007,CHA,AL,aardsda01,25,0,2,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2008,BOS,AL,aardsda01,47,0,5,47,47,0,0,0,0,0,0,0,0,0,0,0,0
2009,SEA,AL,aardsda01,73,0,3,73,73,0,0,0,0,0,0,0,0,0,0,0,0
2010,SEA,AL,aardsda01,53,0,4,53,53,0,0,0,0,0,0,0,0,0,0,0,0
2012,NYA,AL,aardsda01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,NYN,NL,aardsda01,43,0,41,43,43,0,0,0,0,0,0,0,0,0,0,0,0
2015,ATL,NL,aardsda01,33,0,30,33,33,0,0,0,0,0,0,0,0,0,0,0,0
1954,ML1,NL,aaronha01,122,113,122,116,0,0,0,0,0,0,105,0,11,116,0,7,1
1955,ML1,NL,aaronha01,153,151,153,151,0,0,0,27,0,0,30,0,104,126,0,2,0
1956,ML1,NL,aaronha01,153,152,153,152,0,0,0,0,0,0,0,0,152,152,0,1,0
1957,ML1,NL,aaronha01,151,150,151,150,0,0,0,0,0,0,0,69,84,150,0,1,0
1958,ML1,NL,aaronha01,153,153,153,153,0,0,0,0,0,0,0,39,119,153,0,0,0
1959,ML1,NL,aaronha01,154,154,154,154,0,0,0,0,5,0,0,13,144,152,0,0,0
1960,ML1,NL,aaronha01,153,153,153,153,0,0,0,2,0,0,0,5,150,153,0,0,0
1961,ML1,NL,aaronha01,155,154,155,154,0,0,0,0,2,0,0,83,78,154,0,1,0
1962,ML1,NL,aaronha01,156,153,156,153,0,0,1,0,0,0,0,83,71,153,0,3,0
1963,ML1,NL,aaronha01,161,161,161,161,0,0,0,0,0,0,0,0,161,161,0,0,0
1964,ML1,NL,aaronha01,145,142,145,143,0,0,0,11,0,0,0,0,139,139,0,2,0
1965,ML1,NL,aaronha01,150,148,150,148,0,0,0,0,0,0,0,0,148,148,0,2,0
1966,ATL,NL,aaronha01,158,157,158,158,0,0,0,2,0,0,0,5,158,158,0,1,0
1967,ATL,NL,aaronha01,155,152,155,152,0,0,0,1,0,0,0,11,142,152,0,3,0
1968,ATL,NL,aaronha01,160,157,160,157,0,0,14,0,0,0,0,0,151,151,0,3,0
1969,ATL,NL,aaronha01,147,145,147,145,0,0,4,0,0,0,0,0,144,144,0,2,0
1970,ATL,NL,aaronha01,150,135,150,136,0,0,11,0,0,0,0,0,125,125,0,15,0
1971,ATL,NL,aaronha01,139,129,139,129,0,0,71,0,0,0,0,0,60,60,0,10,0
1972,ATL,NL,aaronha01,129,121,129,122,0,0,109,0,0,0,0,0,15,15,0,8,0
1973,ATL,NL,aaronha01,120,105,120,105,0,0,0,0,0,0,87,0,18,105,0,15,0
1974,ATL,NL,aaronha01,112,89,112,89,0,0,0,0,0,0,89,0,0,89,0,23,0
1975,ML4,AL,aaronha01,137,129,137,3,0,0,0,0,0,0,3,0,0,3,127,8,0
1976,ML4,AL,aaronha01,85,70,85,1,0,0,0,0,0,0,1,0,0,1,74,15,0
1962,ML1,NL,aaronto01,141,74,141,130,0,0,110,1,1,0,41,0,0,41,0,13,26
1963,ML1,NL,aaronto01,72,28,72,57,0,0,45,6,1,0,14,1,0,14,0,19,1
1965,ML1,NL,aaronto01,8,4,8,6,0,0,6,0,0,0,0,0,0,0,0,3,0
1968,ATL,NL,aaronto01,98,70,98,84,0,0,28,0,1,0,62,0,0,62,0,18,1
1969,ATL,NL,aaronto01,49,8,49,24,0,0,16,0,0,0,8,0,0,8,0,24,3
1970,ATL,NL,aaronto01,44,12,44,27,0,0,16,0,0,0,10,0,2,12,0,17,4
1971,ATL,NL,aaronto01,25,10,25,18,0,0,11,0,7,0,0,0,0,0,0,8,0
1977,BOS,AL,aasedo01,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1978,CAL,AL,aasedo01,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0
1979,CAL,AL,aasedo01,37,28,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0
1980,CAL,AL,aasedo01,40,21,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0
1981,CAL,AL,aasedo01,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0
1982,CAL,AL,aasedo01,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
1984,CAL,AL,aasedo01,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
1985,BAL,AL,aasedo01,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0
1986,BAL,AL,aasedo01,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAL,AL,aasedo01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1988,BAL,AL,aasedo01,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0
1989,NYN,NL,aasedo01,49,0,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0
1990,LAN,NL,aasedo01,32,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2001,OAK,AL,abadan01,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2003,BOS,AL,abadan01,9,4,9,8,0,0,7,0,0,0,0,0,1,1,0,1,1
2006,CIN,NL,abadan01,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2010,HOU,NL,abadfe01,22,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0
2011,HOU,NL,abadfe01,29,0,28,29,29,0,0,0,0,0,0,0,0,0,0,0,0
2012,HOU,NL,abadfe01,37,6,36,37,37,0,0,0,0,0,0,0,0,0,0,0,0
2013,WAS,NL,abadfe01,39,0,34,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2014,OAK,AL,abadfe01,69,0,7,69,69,0,0,0,0,0,0,0,0,0,0,0,0
2015,OAK,AL,abadfe01,62,0,4,62,62,0,0,0,0,0,0,0,0,0,0,0,0
2016,BOS,AL,abadfe01,18,0,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2016,MIN,AL,abadfe01,39,0,2,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2017,BOS,AL,abadfe01,48,0,4,48,48,0,0,0,0,0,0,0,0,0,0,0,0
1875,BR2,NA,abadijo01,1,,1,,0,0,1,0,0,0,0,0,0,0,0,,
1875,PH3,NA,abadijo01,11,,11,,0,0,11,0,0,0,0,0,0,0,0,,
1897,PHI,NL,abbated01,3,,3,,0,0,0,3,0,0,0,0,0,0,0,,
1898,PHI,NL,abbated01,25,,25,,0,0,0,4,20,0,0,0,1,1,0,,
1903,BSN,NL,abbated01,136,,136,136,0,0,0,116,0,17,0,0,0,0,,,
1904,BSN,NL,abbated01,154,,154,154,0,0,0,0,0,154,0,0,0,0,,,
1905,BSN,NL,abbated01,153,,153,153,0,0,0,0,0,152,0,1,0,1,,,
1907,PIT,NL,abbated01,147,,147,147,0,0,0,147,0,0,0,0,0,0,,,
1908,PIT,NL,abbated01,146,,146,146,0,0,0,144,0,0,0,0,0,0,,,
1909,PIT,NL,abbated01,36,,36,36,0,0,0,4,0,18,0,1,0,1,,,
1910,BSN,NL,abbated01,52,,52,52,0,0,0,1,0,46,0,0,0,0,,,
1910,PIT,NL,abbated01,3,,3,3,0,0,0,0,0,1,0,0,0,0,,,
1892,WAS,NL,abbeybe01,27,,27,,27,0,0,0,0,0,0,0,0,0,0,,
1893,CHN,NL,abbeybe01,7,,7,,7,0,0,0,0,0,0,0,0,0,0,,
1894,CHN,NL,abbeybe01,11,,11,,11,0,0,0,0,0,0,0,0,0,0,,
1895,BRO,NL,abbeybe01,8,,8,,8,0,0,0,0,0,0,0,0,0,0,,
1895,CHN,NL,abbeybe01,1,,1,,1,0,0,0,0,0,0,0,0,0,0,,
1896,BRO,NL,abbeybe01,25,,25,,25,0,0,0,0,0,0,0,0,0,0,,
1893,WAS,NL,abbeych01,31,,31,,0,0,0,0,0,0,31,0,0,31,0,,
1894,WAS,NL,abbeych01,129,,129,,0,0,0,0,0,0,54,74,0,129,0,,
1895,WAS,NL,abbeych01,133,,133,,0,0,0,0,0,0,3,99,31,133,0,,
1896,WAS,NL,abbeych01,79,,79,,1,0,0,0,0,0,2,11,65,78,0,,
1897,WAS,NL,abbeych01,80,,80,,0,0,0,0,0,0,2,1,77,80,0,,
1890,TL2,AA,abbotda01,3,,3,,3,0,0,0,0,0,0,0,0,0,0,,
1903,CLE,AL,abbotfr01,77,,77,77,0,71,3,0,0,0,0,0,0,0,,,
1904,CLE,AL,abbotfr01,41,,41,41,0,33,7,0,0,0,0,0,0,0,,,
1905,PHI,NL,abbotfr01,42,,42,42,0,34,5,0,0,0,0,0,0,0,,,
1973,OAK,AL,abbotgl01,5,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1974,OAK,AL,abbotgl01,19,16,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0
1975,OAK,AL,abbotgl01,30,14,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0
1976,OAK,AL,abbotgl01,19,10,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0
1977,SEA,AL,abbotgl01,36,34,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0
1978,SEA,AL,abbotgl01,29,28,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0
1979,SEA,AL,abbotgl01,23,19,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
1980,SEA,AL,abbotgl01,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0
1981,SEA,AL,abbotgl01,22,20,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0
1983,DET,AL,abbotgl01,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1983,SEA,AL,abbotgl01,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
1984,DET,AL,abbotgl01,13,8,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1997,CHA,AL,abbotje01,19,6,19,10,0,0,0,0,0,0,5,1,4,10,3,8,0
1998,CHA,AL,abbotje01,89,61,89,76,0,0,0,0,0,0,20,38,27,76,2,15,0
1999,CHA,AL,abbotje01,17,17,17,17,0,0,0,0,0,0,17,0,0,17,0,0,0
2000,CHA,AL,abbotje01,80,52,80,65,0,0,0,0,0,0,20,33,16,65,7,18,2
2001,FLO,NL,abbotje01,28,8,28,17,0,0,0,0,0,0,1,9,8,17,0,9,7
1989,CAL,AL,abbotji01,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0
1990,CAL,AL,abbotji01,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0
1991,CAL,AL,abbotji01,34,34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0
1992,CAL,AL,abbotji01,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0
1993,NYA,AL,abbotji01,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0
1994,NYA,AL,abbotji01,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
1995,CAL,AL,abbotji01,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1995,CHA,AL,abbotji01,17,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0
1996,CAL,AL,abbotji01,27,23,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
1998,CHA,AL,abbotji01,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1999,MIL,NL,abbotji01,20,15,18,20,20,0,0,0,0,0,0,0,0,0,0,0,0
1993,OAK,AL,abbotku01,20,14,20,18,0,0,0,2,0,6,13,0,0,13,0,2,3
1994,FLO,NL,abbotku01,101,93,101,99,0,0,0,0,0,99,0,0,0,0,0,3,1
1995,FLO,NL,abbotku01,120,109,120,115,0,0,0,0,0,115,0,0,0,0,0,5,0
1996,FLO,NL,abbotku01,109,83,109,95,0,0,0,20,33,44,0,0,0,0,0,15,1
1997,FLO,NL,abbotku01,94,57,94,75,0,0,0,54,4,7,10,0,0,10,2,24,5
1998,COL,NL,abbotku01,42,15,42,25,0,0,0,7,3,7,4,0,5,9,1,19,1
1998,OAK,AL,abbotku01,35,32,35,32,0,0,0,0,1,28,5,0,1,5,3,1,1
1999,COL,NL,abbotku01,96,69,96,80,0,0,8,66,0,3,0,2,2,4,0,16,2
2000,NYN,NL,abbotku01,79,35,79,61,0,0,0,23,2,39,0,2,0,2,0,17,9
2001,ATL,NL,abbotku01,6,1,6,2,0,0,0,1,0,1,0,0,0,0,0,5,0
1991,CAL,AL,abbotky01,5,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1992,PHI,NL,abbotky01,31,19,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
1995,PHI,NL,abbotky01,18,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0
1996,CAL,AL,abbotky01,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1910,SLN,NL,abbotod01,22,,22,22,0,0,0,0,0,0,0,21,0,21,,,
1990,MIN,AL,abbotpa01,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1991,MIN,AL,abbotpa01,15,3,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0
1992,MIN,AL,abbotpa01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1993,CLE,AL,abbotpa01,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1998,SEA,AL,abbotpa01,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1999,SEA,AL,abbotpa01,25,7,3,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2000,SEA,AL,abbotpa01,35,27,2,35,35,0,0,0,0,0,0,0,0,0,0,0,0
2001,SEA,AL,abbotpa01,28,27,2,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2002,SEA,AL,abbotpa01,7,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2003,KCA,AL,abbotpa01,10,8,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2004,PHI,NL,abbotpa01,10,10,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2004,TBA,AL,abbotpa01,10,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1950,CLE,AL,aberal01,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1953,CLE,AL,aberal01,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1953,DET,AL,aberal01,17,10,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
1954,DET,AL,aberal01,32,18,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
1955,DET,AL,aberal01,39,1,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0
1956,DET,AL,aberal01,42,0,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0
1957,DET,AL,aberal01,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
1957,KC1,AL,aberal01,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1871,TRO,NA,abercda01,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,FLO,NL,abercre01,111,67,111,93,0,0,0,0,0,0,3,87,13,93,0,11,13
2007,FLO,NL,abercre01,35,17,35,19,0,0,0,0,0,0,3,17,2,19,0,9,9
2008,HOU,NL,abercre01,34,12,34,22,0,0,0,0,0,0,12,11,0,22,0,13,6
1952,CLE,AL,abernbi01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,TBA,AL,abernbr01,79,78,79,79,0,0,0,79,0,0,0,0,0,0,0,0,1
2002,TBA,AL,abernbr01,117,115,117,116,0,0,0,116,0,0,0,0,0,0,1,0,2
2003,KCA,AL,abernbr01,10,6,10,9,0,0,0,9,0,0,0,0,0,0,0,1,1
2003,TBA,AL,abernbr01,2,1,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0
2005,MIN,AL,abernbr01,24,18,24,22,0,0,0,17,0,0,5,0,0,5,2,3,2
1942,PHA,AL,abernte01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1943,PHA,AL,abernte01,5,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1944,PHA,AL,abernte01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1955,WS1,AL,abernte02,40,14,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0
1956,WS1,AL,abernte02,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1957,WS1,AL,abernte02,26,16,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0
1960,WS1,AL,abernte02,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1963,CLE,AL,abernte02,43,0,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0
1964,CLE,AL,abernte02,53,0,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0
1965,CHN,NL,abernte02,84,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0
1966,ATL,NL,abernte02,38,0,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0
1966,CHN,NL,abernte02,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
1967,CIN,NL,abernte02,70,0,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0
1968,CIN,NL,abernte02,78,0,78,78,78,0,0,0,0,0,0,0,0,0,0,0,0
1969,CHN,NL,abernte02,56,0,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
1970,CHN,NL,abernte02,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1970,KCA,AL,abernte02,36,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
1970,SLN,NL,abernte02,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1971,KCA,AL,abernte02,63,0,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0
1972,KCA,AL,abernte02,45,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0
1946,NY1,NL,abernwo01,15,1,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
1947,NY1,NL,abernwo01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1947,CHN,NL,aberscl01,47,37,47,39,0,0,0,0,0,0,39,0,0,39,0,7,0
1948,CHN,NL,aberscl01,12,8,12,8,0,0,0,0,0,0,8,0,0,8,0,2,0
1949,CHN,NL,aberscl01,4,1,4,1,0,0,0,0,0,0,0,0,1,1,0,3,0
1905,SLA,AL,ablesha01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,,
1909,CLE,AL,ablesha01,5,,5,5,5,0,0,0,0,0,0,0,0,0,,,
1911,NYA,AL,ablesha01,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1987,SDN,NL,abnersh01,16,10,16,14,0,0,0,0,0,0,6,2,6,14,0,3,1
1988,SDN,NL,abnersh01,37,24,37,35,0,0,0,0,0,0,10,11,17,35,0,1,3
1989,SDN,NL,abnersh01,57,23,57,51,0,0,0,0,0,0,22,24,6,51,0,8,3
1990,SDN,NL,abnersh01,91,40,91,62,0,0,0,0,0,0,23,35,6,62,0,30,3
1991,CAL,AL,abnersh01,41,27,41,38,0,0,0,0,0,0,0,31,7,38,3,2,7
1991,SDN,NL,abnersh01,53,27,53,39,0,0,0,0,0,0,0,36,3,39,0,13,4
1992,CHA,AL,abnersh01,97,48,97,94,0,0,0,0,0,0,12,14,75,94,1,21,6
1949,BRO,NL,abramca01,8,7,8,7,0,0,0,0,0,0,7,0,0,7,0,1,0
1950,BRO,NL,abramca01,38,6,38,15,0,0,0,0,0,0,9,5,1,15,0,26,1
1951,BRO,NL,abramca01,67,33,67,34,0,0,0,0,0,0,34,0,0,34,0,33,1
1952,BRO,NL,abramca01,10,1,10,1,0,0,0,0,0,0,1,0,0,1,0,9,0
1952,CIN,NL,abramca01,71,35,71,45,0,0,0,0,0,0,25,25,0,45,0,30,1
1953,PIT,NL,abramca01,119,110,119,112,0,0,0,0,0,0,0,0,112,112,0,7,1
1954,BAL,AL,abramca01,115,110,115,115,0,0,0,0,0,0,0,12,103,115,0,2,0
1954,PIT,NL,abramca01,17,11,17,13,0,0,0,0,0,0,5,0,8,13,0,4,1
1955,BAL,AL,abramca01,118,87,118,97,0,0,3,0,0,0,13,58,46,96,0,20,4
1956,CHA,AL,abramca01,4,0,4,2,0,0,0,0,0,0,1,0,1,2,0,4,0
1923,CIN,NL,abramge01,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1985,CHN,NL,abregjo01,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1996,HOU,NL,abreubo01,15,4,15,7,0,0,0,0,0,0,6,0,1,7,0,8,0
1997,HOU,NL,abreubo01,59,46,59,53,0,0,0,0,0,0,10,1,43,53,0,11,0
1998,PHI,NL,abreubo01,151,139,151,146,0,0,0,0,0,0,0,0,146,146,0,10,1
1999,PHI,NL,abreubo01,152,150,152,146,0,0,0,0,0,0,0,0,146,146,5,2,0
2000,PHI,NL,abreubo01,154,150,154,152,0,0,0,0,0,0,0,0,152,152,0,3,0
2001,PHI,NL,abreubo01,162,159,162,162,0,0,0,0,0,0,0,0,162,162,0,3,0
2002,PHI,NL,abreubo01,157,153,157,154,0,0,0,0,0,0,0,18,148,154,0,3,0
2003,PHI,NL,abreubo01,158,156,158,158,0,0,0,0,0,0,0,0,158,158,0,0,0
2004,PHI,NL,abreubo01,159,157,159,158,0,0,0,0,0,0,0,0,158,158,0,2,0
2005,PHI,NL,abreubo01,162,161,162,158,0,0,0,0,0,0,0,0,158,158,3,1,0
2006,NYA,AL,abreubo01,58,55,58,57,0,0,0,0,0,0,0,1,57,57,1,1,0
2006,PHI,NL,abreubo01,98,96,98,97,0,0,0,0,0,0,0,1,97,97,1,1,0
2007,NYA,AL,abreubo01,158,151,158,157,0,0,0,0,0,0,0,0,157,157,1,4,1
2008,NYA,AL,abreubo01,156,152,156,150,0,0,0,0,0,0,0,0,150,150,4,4,0
2009,LAA,AL,abreubo01,152,150,152,136,0,0,0,0,0,0,10,0,126,136,14,2,0
2010,LAA,AL,abreubo01,154,151,154,134,0,0,0,0,0,0,41,0,93,134,17,3,0
2011,LAA,AL,abreubo01,142,135,142,28,0,0,0,0,0,0,18,0,10,28,108,7,0
2012,LAA,AL,abreubo01,8,7,8,7,0,0,0,0,0,0,6,0,1,7,0,0,1
2012,LAN,NL,abreubo01,92,47,92,47,0,0,0,0,0,0,46,0,1,47,4,44,0
2014,NYN,NL,abreubo01,78,29,78,31,0,0,0,0,0,0,5,0,26,31,3,46,0
1942,CIN,NL,abreujo01,9,8,9,8,0,0,0,2,6,0,0,0,0,0,0,1,0
2014,CHA,AL,abreujo02,145,144,145,109,0,0,109,0,0,0,0,0,0,0,35,1,0
2015,CHA,AL,abreujo02,154,154,154,115,0,0,115,0,0,0,0,0,0,0,39,0,0
2016,CHA,AL,abreujo02,159,159,159,152,0,0,152,0,0,0,0,0,0,0,7,0,0
2017,CHA,AL,abreujo02,156,156,156,139,0,0,139,0,0,0,0,0,0,0,18,0,0
2011,HOU,NL,abreuju01,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2007,LAN,NL,abreuto01,59,38,59,51,0,0,0,25,28,7,0,0,0,0,0,10,2
2009,LAN,NL,abreuto01,6,2,6,2,0,0,0,1,1,0,0,0,0,0,0,4,0
2010,ARI,NL,abreuto01,81,39,81,44,0,0,0,12,20,15,0,0,0,0,1,37,1
2012,KCA,AL,abreuto01,22,18,22,19,0,0,0,11,6,4,0,0,0,0,2,2,1
2013,SFN,NL,abreuto01,53,25,53,36,0,0,0,30,3,3,0,0,0,0,0,23,0
2014,SFN,NL,abreuto01,3,0,3,2,0,0,0,1,1,0,0,0,0,0,0,1,0
2006,BAL,AL,abreuwi01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2007,WAS,NL,abreuwi01,26,0,24,26,26,0,0,0,0,0,0,0,0,0,0,0,0
2009,CLE,AL,abreuwi01,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2009,TBA,AL,abreuwi01,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1906,PIT,NL,abstebi01,8,,8,8,0,0,0,3,0,0,0,0,2,2,,,
1909,PIT,NL,abstebi01,137,,137,137,0,0,135,0,0,0,0,0,0,0,,,
1910,SLA,AL,abstebi01,25,,25,25,0,0,23,0,0,0,0,0,0,0,,,
2005,SFN,NL,accarje01,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2006,SFN,NL,accarje01,38,0,36,38,38,0,0,0,0,0,0,0,0,0,0,0,0
2006,TOR,AL,accarje01,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2007,TOR,AL,accarje01,64,0,3,64,64,0,0,0,0,0,0,0,0,0,0,0,0
2008,TOR,AL,accarje01,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2009,TOR,AL,accarje01,26,0,3,26,26,0,0,0,0,0,0,0,0,0,0,0,0
2010,TOR,AL,accarje01,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,BAL,AL,accarje01,31,0,1,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2012,CLE,AL,accarje01,26,0,4,26,26,0,0,0,0,0,0,0,0,0,0,0,0
2012,OAK,AL,accarje01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,NYA,AL,aceveal01,6,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2009,NYA,AL,aceveal01,43,1,3,43,43,0,0,0,0,0,0,0,0,0,0,0,0
2010,NYA,AL,aceveal01,10,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2011,BOS,AL,aceveal01,55,4,2,55,55,0,0,0,0,0,0,0,0,0,0,0,0
2012,BOS,AL,aceveal01,69,0,6,69,69,0,0,0,0,0,0,0,0,0,0,0,0
2013,BOS,AL,aceveal01,11,6,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2014,NYA,AL,aceveal01,10,0,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2001,CIN,NL,acevejo01,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2002,CIN,NL,acevejo01,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2003,CIN,NL,acevejo01,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2004,CIN,NL,acevejo01,39,27,38,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2005,COL,NL,acevejo01,36,5,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
1995,COL,NL,aceveju01,17,11,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
1997,NYN,NL,aceveju01,25,2,22,25,25,0,0,0,0,0,0,0,0,0,0,0,0
1998,SLN,NL,aceveju01,50,9,48,50,50,0,0,0,0,0,0,0,0,0,0,0,0
1999,SLN,NL,aceveju01,50,12,49,50,50,0,0,0,0,0,0,0,0,0,0,0,0
2000,MIL,NL,aceveju01,62,0,60,62,62,0,0,0,0,0,0,0,0,0,0,0,0
2001,COL,NL,aceveju01,39,0,36,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2001,FLO,NL,aceveju01,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
2002,DET,AL,aceveju01,65,0,4,65,65,0,0,0,0,0,0,0,0,0,0,0,0
2003,NYA,AL,aceveju01,25,0,2,25,25,0,0,0,0,0,0,0,0,0,0,0,0
